node1,node2,source
Cluster_0007,Cluster_0608,Exp_m
Cluster_0288,Cluster_1055,Exp_m
Cluster_0288,Cluster_1057,Exp_m
Cluster_0402,Cluster_1469,Exp_m
Cluster_0418,Cluster_1519,Exp_m
Cluster_0521,Cluster_1680,Exp_m
Cluster_0570,Cluster_1734,Exp_m
Cluster_0571,Cluster_1734,Exp_m
Cluster_0572,Cluster_1735,Exp_m
Cluster_0599,Cluster_1796,Exp_m
Cluster_0600,Cluster_1796,Exp_m
Cluster_0608,Cluster_1799,Exp_m
Cluster_0627,Cluster_1820,Exp_m
Cluster_0633,Cluster_1845,Exp_m
Cluster_0684,Cluster_1946,Exp_m
Cluster_0715,Cluster_1997,Exp_m
Cluster_0725,Cluster_2013,Exp_m
Cluster_0732,Cluster_2023,Exp_m
Cluster_0732,Cluster_2024,Exp_m
Cluster_0762,Cluster_2106,Exp_m
Cluster_0827,Cluster_2227,Exp_m
Cluster_0832,Cluster_2247,Exp_m
Cluster_0837,Cluster_2255,Exp_m
Cluster_0889,Cluster_2392,Exp_m
Cluster_0894,Cluster_2397,Exp_m
Cluster_0894,Cluster_2398,Exp_m
Cluster_0412,Cluster_1516,Exp_m
Cluster_0413,Cluster_1516,Exp_m
Cluster_0901,Cluster_2424,Exp_m
Cluster_0902,Cluster_2424,Exp_m
Cluster_0903,Cluster_2424,Exp_m
Cluster_0484,Cluster_1639,Exp_m
Cluster_0476,Cluster_1624,Exp_m
Cluster_0917,Cluster_2448,Exp_m
Cluster_0948,Cluster_2528,Exp_m
Cluster_0950,Cluster_2528,Exp_m
Cluster_0948,Cluster_2529,Exp_m
Cluster_0950,Cluster_2529,Exp_m
Cluster_0958,Cluster_2554,Exp_m
Cluster_0983,Cluster_2627,Exp_m
Cluster_0983,Cluster_2628,Exp_m
Cluster_1002,Cluster_2664,Exp_m
Cluster_1008,Cluster_2677,Exp_m
Cluster_1009,Cluster_2677,Exp_m
Cluster_1010,Cluster_2677,Exp_m
Cluster_1011,Cluster_2678,Exp_m
Cluster_1022,Cluster_2702,Exp_m
Cluster_1024,Cluster_2702,Exp_m
Cluster_1726,Cluster_4038,Exp_m
Cluster_1781,Cluster_4137,Exp_m
Cluster_0996,Cluster_2655,Exp_m
Cluster_1052,Cluster_2750,Exp_m
Cluster_1052,Cluster_2752,Exp_m
Cluster_1059,Cluster_2757,Exp_m
Cluster_1076,Cluster_2762,Exp_m
Cluster_1076,Cluster_2764,Exp_m
Cluster_1081,Cluster_2767,Exp_m
Cluster_1082,Cluster_2767,Exp_m
Cluster_1085,Cluster_2769,Exp_m
Cluster_1144,Cluster_2881,Exp_m
Cluster_1145,Cluster_2881,Exp_m
Cluster_1146,Cluster_2881,Exp_m
Cluster_1107,Cluster_2812,Exp_m
Cluster_1239,Cluster_3029,Exp_m
Cluster_1119,Cluster_2850,Exp_m
Cluster_1120,Cluster_2850,Exp_m
Cluster_1139,Cluster_2873,Exp_m
Cluster_1140,Cluster_2873,Exp_m
Cluster_1289,Cluster_3116,Exp_m
Cluster_1290,Cluster_3116,Exp_m
Cluster_1291,Cluster_3116,Exp_m
Cluster_1405,Cluster_3333,Exp_m
Cluster_1156,Cluster_2891,Exp_m
Cluster_1405,Cluster_3336,Exp_m
Cluster_1252,Cluster_3055,Exp_m
Cluster_1252,Cluster_3056,Exp_m
Cluster_1252,Cluster_3057,Exp_m
Cluster_1177,Cluster_2923,Exp_m
Cluster_1239,Cluster_3027,Exp_m
Cluster_1239,Cluster_3028,Exp_m
Cluster_1364,Cluster_3264,Exp_m
Cluster_1184,Cluster_2940,Exp_m
Cluster_1185,Cluster_2940,Exp_m
Cluster_1186,Cluster_2941,Exp_m
Cluster_1185,Cluster_2942,Exp_m
Cluster_1186,Cluster_2942,Exp_m
Cluster_1186,Cluster_2943,Exp_m
Cluster_1203,Cluster_2977,Exp_m
Cluster_1220,Cluster_2990,Exp_m
Cluster_1221,Cluster_2990,Exp_m
Cluster_1466,Cluster_3437,Exp_m
Cluster_1239,Cluster_3030,Exp_m
Cluster_1405,Cluster_3330,Exp_m
Cluster_1405,Cluster_3331,Exp_m
Cluster_1405,Cluster_3332,Exp_m
Cluster_1252,Cluster_3053,Exp_m
Cluster_1548,Cluster_3586,Exp_m
Cluster_1258,Cluster_3059,Exp_m
Cluster_1259,Cluster_3059,Exp_m
Cluster_1548,Cluster_3587,Exp_m
Cluster_1548,Cluster_3589,Exp_m
Cluster_1364,Cluster_3261,Exp_m
Cluster_1364,Cluster_3262,Exp_m
Cluster_1364,Cluster_3263,Exp_m
Cluster_1276,Cluster_3098,Exp_m
Cluster_1277,Cluster_3098,Exp_m
Cluster_1279,Cluster_3098,Exp_m
Cluster_1280,Cluster_3098,Exp_m
Cluster_1281,Cluster_3098,Exp_m
Cluster_1281,Cluster_3099,Exp_m
Cluster_1276,Cluster_3100,Exp_m
Cluster_1277,Cluster_3100,Exp_m
Cluster_1279,Cluster_3100,Exp_m
Cluster_1280,Cluster_3100,Exp_m
Cluster_1281,Cluster_3100,Exp_m
Cluster_1521,Cluster_3544,Exp_m
Cluster_1289,Cluster_3117,Exp_m
Cluster_1290,Cluster_3117,Exp_m
Cluster_1291,Cluster_3117,Exp_m
Cluster_1289,Cluster_3119,Exp_m
Cluster_1290,Cluster_3119,Exp_m
Cluster_1291,Cluster_3119,Exp_m
Cluster_1288,Cluster_3121,Exp_m
Cluster_1288,Cluster_3122,Exp_m
Cluster_1306,Cluster_3166,Exp_m
Cluster_1306,Cluster_3167,Exp_m
Cluster_1318,Cluster_3183,Exp_m
Cluster_1319,Cluster_3183,Exp_m
Cluster_1320,Cluster_3183,Exp_m
Cluster_1321,Cluster_3183,Exp_m
Cluster_1322,Cluster_3183,Exp_m
Cluster_1323,Cluster_3183,Exp_m
Cluster_1324,Cluster_3183,Exp_m
Cluster_1325,Cluster_3183,Exp_m
Cluster_1315,Cluster_3184,Exp_m
Cluster_1317,Cluster_3184,Exp_m
Cluster_1318,Cluster_3184,Exp_m
Cluster_1319,Cluster_3184,Exp_m
Cluster_1320,Cluster_3184,Exp_m
Cluster_1321,Cluster_3184,Exp_m
Cluster_1322,Cluster_3184,Exp_m
Cluster_1323,Cluster_3184,Exp_m
Cluster_1324,Cluster_3184,Exp_m
Cluster_1325,Cluster_3184,Exp_m
Cluster_1324,Cluster_3189,Exp_m
Cluster_1324,Cluster_3190,Exp_m
Cluster_1324,Cluster_3191,Exp_m
Cluster_1318,Cluster_3192,Exp_m
Cluster_1319,Cluster_3192,Exp_m
Cluster_1320,Cluster_3192,Exp_m
Cluster_1322,Cluster_3192,Exp_m
Cluster_1323,Cluster_3192,Exp_m
Cluster_1324,Cluster_3192,Exp_m
Cluster_1325,Cluster_3192,Exp_m
Cluster_1337,Cluster_3208,Exp_m
Cluster_1334,Cluster_3211,Exp_m
Cluster_1337,Cluster_3211,Exp_m
Cluster_1331,Cluster_3212,Exp_m
Cluster_1334,Cluster_3212,Exp_m
Cluster_1337,Cluster_3212,Exp_m
Cluster_1331,Cluster_3213,Exp_m
Cluster_1334,Cluster_3213,Exp_m
Cluster_1337,Cluster_3213,Exp_m
Cluster_1346,Cluster_3218,Exp_m
Cluster_1346,Cluster_3219,Exp_m
Cluster_1354,Cluster_3236,Exp_m
Cluster_1358,Cluster_3246,Exp_m
Cluster_1358,Cluster_3249,Exp_m
Cluster_1364,Cluster_3265,Exp_m
Cluster_1364,Cluster_3267,Exp_m
Cluster_1364,Cluster_3268,Exp_m
Cluster_1371,Cluster_3280,Exp_m
Cluster_1372,Cluster_3280,Exp_m
Cluster_1702,Cluster_3936,Exp_m
Cluster_1702,Cluster_3938,Exp_m
Cluster_1702,Cluster_3939,Exp_m
Cluster_1577,Cluster_3648,Exp_m
Cluster_1577,Cluster_3650,Exp_m
Cluster_1577,Cluster_3651,Exp_m
Cluster_1405,Cluster_3334,Exp_m
Cluster_1405,Cluster_3337,Exp_m
Cluster_1558,Cluster_3607,Exp_m
Cluster_1405,Cluster_3340,Exp_m
Cluster_1558,Cluster_3608,Exp_m
Cluster_1406,Cluster_3343,Exp_m
Cluster_1407,Cluster_3343,Exp_m
Cluster_1408,Cluster_3343,Exp_m
Cluster_1409,Cluster_3343,Exp_m
Cluster_1410,Cluster_3343,Exp_m
Cluster_1411,Cluster_3343,Exp_m
Cluster_1412,Cluster_3343,Exp_m
Cluster_1413,Cluster_3343,Exp_m
Cluster_1558,Cluster_3610,Exp_m
Cluster_1558,Cluster_3611,Exp_m
Cluster_1548,Cluster_3588,Exp_m
Cluster_1422,Cluster_3359,Exp_m
Cluster_1423,Cluster_3359,Exp_m
Cluster_1424,Cluster_3359,Exp_m
Cluster_1425,Cluster_3359,Exp_m
Cluster_1428,Cluster_3359,Exp_m
Cluster_1429,Cluster_3359,Exp_m
Cluster_1428,Cluster_3365,Exp_m
Cluster_1429,Cluster_3365,Exp_m
Cluster_1431,Cluster_3365,Exp_m
Cluster_1433,Cluster_3375,Exp_m
Cluster_1437,Cluster_3381,Exp_m
Cluster_1440,Cluster_3385,Exp_m
Cluster_1441,Cluster_3385,Exp_m
Cluster_1440,Cluster_3388,Exp_m
Cluster_1441,Cluster_3388,Exp_m
Cluster_1444,Cluster_3392,Exp_m
Cluster_1660,Cluster_3813,Exp_m
Cluster_1459,Cluster_3425,Exp_m
Cluster_1460,Cluster_3425,Exp_m
Cluster_1660,Cluster_3814,Exp_m
Cluster_1660,Cluster_3817,Exp_m
Cluster_1466,Cluster_3440,Exp_m
Cluster_1471,Cluster_3449,Exp_m
Cluster_1472,Cluster_3449,Exp_m
Cluster_1473,Cluster_3449,Exp_m
Cluster_1474,Cluster_3449,Exp_m
Cluster_1729,Cluster_4041,Exp_m
Cluster_1492,Cluster_3495,Exp_m
Cluster_1500,Cluster_3502,Exp_m
Cluster_1507,Cluster_3514,Exp_m
Cluster_1508,Cluster_3514,Exp_m
Cluster_1509,Cluster_3514,Exp_m
Cluster_1510,Cluster_3514,Exp_m
Cluster_1511,Cluster_3514,Exp_m
Cluster_1513,Cluster_3514,Exp_m
Cluster_1514,Cluster_3514,Exp_m
Cluster_1810,Cluster_4212,Exp_m
Cluster_1514,Cluster_3516,Exp_m
Cluster_1517,Cluster_3525,Exp_m
Cluster_1810,Cluster_4213,Exp_m
Cluster_1702,Cluster_3934,Exp_m
Cluster_1519,Cluster_3538,Exp_m
Cluster_1702,Cluster_3937,Exp_m
