node,nodeType
Cluster_0002,Exp
Cluster_0003,Exp
Cluster_0004,Exp
Cluster_0005,Exp
Cluster_0006,Exp
Cluster_0007,Exp
Cluster_0008,Exp
Cluster_0009,Exp
Cluster_0010,Exp
Cluster_0011,Exp
Cluster_0012,Exp
Cluster_0013,Exp
Cluster_0014,Exp
Cluster_0015,Exp
Cluster_0016,Exp
Cluster_0017,Exp
Cluster_0018,Exp
Cluster_0019,Exp
Cluster_0020,Exp
Cluster_0021,Exp
Cluster_0023,Exp
Cluster_0027,Exp
Cluster_0028,Exp
Cluster_0029,Exp
Cluster_0030,Exp
Cluster_0031,Exp
Cluster_0032,Exp
Cluster_0033,Exp
Cluster_0035,Exp
Cluster_0036,Exp
Cluster_0042,Exp
Cluster_0043,Exp
Cluster_0050,Exp
Cluster_0051,Exp
Cluster_0053,Exp
Cluster_0056,Exp
Cluster_0063,Exp
Cluster_0064,Exp
Cluster_0065,Exp
Cluster_0066,Exp
Cluster_0067,Exp
Cluster_0068,Exp
Cluster_0069,Exp
Cluster_0070,Exp
Cluster_0071,Exp
Cluster_0072,Exp
Cluster_0073,Exp
Cluster_0074,Exp
Cluster_0075,Exp
Cluster_0076,Exp
Cluster_0077,Exp
Cluster_0078,Exp
Cluster_0079,Exp
Cluster_0080,Exp
Cluster_0081,Exp
Cluster_0082,Exp
Cluster_0083,Exp
Cluster_0084,Exp
Cluster_0085,Exp
Cluster_0086,Exp
Cluster_0087,Exp
Cluster_0088,Exp
Cluster_0089,Exp
Cluster_0090,Exp
Cluster_0091,Exp
Cluster_0092,Exp
Cluster_0093,Exp
Cluster_0094,Exp
Cluster_0095,Exp
Cluster_0096,Exp
Cluster_0097,Exp
Cluster_0098,Exp
Cluster_0099,Exp
Cluster_0100,Exp
Cluster_0101,Exp
Cluster_0102,Exp
Cluster_0103,Exp
Cluster_0104,Exp
Cluster_0105,Exp
Cluster_0106,Exp
Cluster_0107,Exp
Cluster_0108,Exp
Cluster_0109,Exp
Cluster_0110,Exp
Cluster_0112,Exp
Cluster_0113,Exp
Cluster_0114,Exp
Cluster_0115,Exp
Cluster_0116,Exp
Cluster_0117,Exp
Cluster_0118,Exp
Cluster_0119,Exp
Cluster_0120,Exp
Cluster_0121,Exp
Cluster_0122,Exp
Cluster_0123,Exp
Cluster_0124,Exp
Cluster_0125,Exp
Cluster_0126,Exp
Cluster_0127,Exp
Cluster_0128,Exp
Cluster_0129,Exp
Cluster_0130,Exp
Cluster_0131,Exp
Cluster_0132,Exp
Cluster_0133,Exp
Cluster_0134,Exp
Cluster_0135,Exp
Cluster_0136,Exp
Cluster_0137,Exp
Cluster_0139,Exp
Cluster_0140,Exp
Cluster_0141,Exp
Cluster_0142,Exp
Cluster_0143,Exp
Cluster_0144,Exp
Cluster_0145,Exp
Cluster_0146,Exp
Cluster_0147,Exp
Cluster_0148,Exp
Cluster_0149,Exp
Cluster_0150,Exp
Cluster_0151,Exp
Cluster_0155,Exp
Cluster_0157,Exp
Cluster_0158,Exp
Cluster_0159,Exp
Cluster_0162,Exp
Cluster_0163,Exp
Cluster_0164,Exp
Cluster_0166,Exp
Cluster_0167,Exp
Cluster_0168,Exp
Cluster_0171,Exp
Cluster_0172,Exp
Cluster_0173,Exp
Cluster_0176,Exp
Cluster_0177,Exp
Cluster_0178,Exp
Cluster_0179,Exp
Cluster_0180,Exp
Cluster_0181,Exp
Cluster_0183,Exp
Cluster_0184,Exp
Cluster_0185,Exp
Cluster_0187,Exp
Cluster_0188,Exp
Cluster_0189,Exp
Cluster_0191,Exp
Cluster_0192,Exp
Cluster_0193,Exp
Cluster_0194,Exp
Cluster_0195,Exp
Cluster_0196,Exp
Cluster_0200,Exp
Cluster_0202,Exp
Cluster_0204,Exp
Cluster_0205,Exp
Cluster_0208,Exp
Cluster_0209,Exp
Cluster_0210,Exp
Cluster_0211,Exp
Cluster_0213,Exp
Cluster_0215,Exp
Cluster_0217,Exp
Cluster_0218,Exp
Cluster_0219,Exp
Cluster_0220,Exp
Cluster_0221,Exp
Cluster_0222,Exp
Cluster_0223,Exp
Cluster_0224,Exp
Cluster_0225,Exp
Cluster_0226,Exp
Cluster_0227,Exp
Cluster_0228,Exp
Cluster_0229,Exp
Cluster_0231,Exp
Cluster_0232,Exp
Cluster_0233,Exp
Cluster_0236,Exp
Cluster_0237,Exp
Cluster_0240,Exp
Cluster_0241,Exp
Cluster_0242,Exp
Cluster_0243,Exp
Cluster_0244,Exp
Cluster_0245,Exp
Cluster_0246,Exp
Cluster_0247,Exp
Cluster_0250,Exp
Cluster_0251,Exp
