"id"	"database_identifier"
"Cluster_2041"	"CHEBI:74167"
"Cluster_2293"	"CHEBI:84436"
"Cluster_2449"	"CHEBI:77125"
"Cluster_1704"	"CHEBI:85685"
"Cluster_1766"	"CHEBI:85689"
"Cluster_1864"	"CHEBI:86974"
"Cluster_1848"	"CHEBI:85694"
"Cluster_1815"	"CHEBI:85691"
"Cluster_1808"	"CHEBI:86976"
"Cluster_1958"	"CHEBI:85697"
"Cluster_1936"	"CHEBI:85696"
"Cluster_1921"	"CHEBI:85695"
"Cluster_2094"	"CHEBI:86987"
"Cluster_2058"	"CHEBI:85701"
"Cluster_2059"	"CHEBI:85701"
"Cluster_2098"	"CHEBI:85701"
"Cluster_2037"	"CHEBI:85700"
"Cluster_2017"	"CHEBI:85699"
"Cluster_2004"	"CHEBI:85698"
"Cluster_2007"	"CHEBI:85698"
"Cluster_2296"	"CHEBI:86984"
"Cluster_2251"	"CHEBI:85705"
"Cluster_2254"	"CHEBI:85705"
"Cluster_2231"	"CHEBI:85704"
"Cluster_2212"	"CHEBI:85703"
"Cluster_2213"	"CHEBI:85703"
"Cluster_2196"	"CHEBI:86986"
"Cluster_2197"	"CHEBI:86986"
"Cluster_2198"	"CHEBI:86986"
"Cluster_2158"	"CHEBI:132489"
"Cluster_2412"	"CHEBI:87243"
"Cluster_2509"	"CHEBI:87224"
"Cluster_2515"	"CHEBI:87224"
"Cluster_2494"	"CHEBI:85709"
"Cluster_2495"	"CHEBI:85709"
"Cluster_2472"	"CHEBI:85708"
"Cluster_2450"	"CHEBI:87227"
"Cluster_2754"	"CHEBI:137884"
"Cluster_0497"	"CHEBI:132539"
"Cluster_1136"	"CHEBI:72736"
"Cluster_1137"	"CHEBI:72736"
"Cluster_1328"	"CHEBI:64563"
"Cluster_1199"	"CHEBI:64560"
"Cluster_1282"	"CHEBI:72737"
"Cluster_1271"	"CHEBI:73853"
"Cluster_1272"	"CHEBI:73853"
"Cluster_1362"	"CHEBI:64561"
"Cluster_1351"	"CHEBI:64566"
"Cluster_1352"	"CHEBI:64566"
"Cluster_1353"	"CHEBI:64566"
"Cluster_1497"	"CHEBI:64566"
"Cluster_1341"	"CHEBI:64549"
"Cluster_1342"	"CHEBI:64549"
"Cluster_1329"	"CHEBI:64565"
"Cluster_1309"	"CHEBI:132547"
"Cluster_1534"	"CHEBI:67056"
"Cluster_1516"	"CHEBI:64481"
"Cluster_1517"	"CHEBI:64481"
"Cluster_1639"	"CHEBI:64481"
"Cluster_1498"	"CHEBI:64568"
"Cluster_1499"	"CHEBI:64568"
"Cluster_1624"	"CHEBI:64568"
"Cluster_1625"	"CHEBI:64568"
"Cluster_1479"	"CHEBI:64559"
"Cluster_1208"	"CHEBI:60479"
"Cluster_1138"	"CHEBI:64576"
"Cluster_1123"	"CHEBI:64575"
"Cluster_1235"	"CHEBI:64575"
"Cluster_1113"	"CHEBI:91296"
"Cluster_1110"	"CHEBI:145255"
"Cluster_1200"	"CHEBI:138537"
"Cluster_1249"	"CHEBI:72735"
"Cluster_1234"	"CHEBI:64569"
"Cluster_1236"	"CHEBI:64569"
"Cluster_1232"	"CHEBI:132559"
"Cluster_3429"	"CHEBI:64482"
"Cluster_3562"	"CHEBI:64482"
"Cluster_3563"	"CHEBI:64482"
"Cluster_3717"	"CHEBI:64482"
"Cluster_3718"	"CHEBI:64482"
"Cluster_3744"	"CHEBI:64482"
"Cluster_3745"	"CHEBI:64482"
"Cluster_3863"	"CHEBI:64482"
"Cluster_3864"	"CHEBI:64482"
"Cluster_3886"	"CHEBI:64482"
"Cluster_3909"	"CHEBI:64482"
"Cluster_3910"	"CHEBI:64482"
"Cluster_3978"	"CHEBI:64482"
"Cluster_4005"	"CHEBI:64482"
"Cluster_4038"	"CHEBI:64482"
"Cluster_4137"	"CHEBI:64482"
"Cluster_4254"	"CHEBI:64482"
"Cluster_4256"	"CHEBI:64482"
"Cluster_2411"	"CHEBI:65294"
"Cluster_2546"	"CHEBI:134575"
"Cluster_2669"	"CHEBI:65303"
"Cluster_2655"	"CHEBI:65302"
"Cluster_2825"	"CHEBI:65302"
"Cluster_2776"	"CHEBI:72426"
"Cluster_2762"	"CHEBI:72426"
"Cluster_2764"	"CHEBI:137601"
"Cluster_2743"	"CHEBI:13760"
"Cluster_2744"	"CHEBI:137601"
"Cluster_2543"	"CHEBI:66850"
"Cluster_2893"	"CHEBI:66850"
"Cluster_2894"	"CHEBI:66850"
"Cluster_2881"	"CHEBI:66849"
"Cluster_2862"	"CHEBI:66848"
"Cluster_2863"	"CHEBI:66848"
"Cluster_3029"	"CHEBI:66848"
"Cluster_2839"	"CHEBI:66847"
"Cluster_2840"	"CHEBI:66847"
"Cluster_2841"	"CHEBI:66847"
"Cluster_3000"	"CHEBI:134439"
"Cluster_3001"	"CHEBI:134439"
"Cluster_3224"	"CHEBI:134439"
"Cluster_2986"	"CHEBI:86472"
"Cluster_2987"	"CHEBI:86472"
"Cluster_2970"	"CHEBI:85853"
"Cluster_2971"	"CHEBI:85853"
"Cluster_2972"	"CHEBI:85853"
"Cluster_2954"	"CHEBI:134587"
"Cluster_2955"	"CHEBI:134587"
"Cluster_2956"	"CHEBI:134587"
"Cluster_2936"	"CHEBI:137603"
"Cluster_2937"	"CHEBI:137603"
"Cluster_2921"	"CHEBI:137604"
"Cluster_3141"	"CHEBI:66855"
"Cluster_3142"	"CHEBI:66855"
"Cluster_3143"	"CHEBI:66855"
"Cluster_3116"	"CHEBI:64517"
"Cluster_3358"	"CHEBI:64517"
"Cluster_3093"	"CHEBI:64516"
"Cluster_3094"	"CHEBI:64516"
"Cluster_3333"	"CHEBI:64516"
"Cluster_3336"	"CHEBI:64516"
"Cluster_3074"	"CHEBI:64424"
"Cluster_3075"	"CHEBI:64424"
"Cluster_3076"	"CHEBI:64424"
"Cluster_3055"	"CHEBI:64423"
"Cluster_3056"	"CHEBI:64423"
"Cluster_3057"	"CHEBI:64423"
"Cluster_3027"	"CHEBI:66854"
"Cluster_3028"	"CHEBI:66854"
"Cluster_3264"	"CHEBI:66854"
"Cluster_3012"	"CHEBI:66853"
"Cluster_3013"	"CHEBI:66853"
"Cluster_3269"	"CHEBI:134273"
"Cluster_3243"	"CHEBI:85766"
"Cluster_3244"	"CHEBI:85766"
"Cluster_3511"	"CHEBI:85766"
