metabolite name	mapped on id	mapping types	distance	chebi	inchi	smiles	hmdb	kegg	pubchem	lipidmaps	swisslipids
Cluster_2041	M_crm;	chebi class mapping;	2;	['17761'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2293	M_1ac2acglyc;	chebi class mapping;	1;	['17815'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2449	M_1ac2acglyc;	chebi class mapping;	1;	['17815'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_1704											
Cluster_1766											
Cluster_1864											
Cluster_1848											
Cluster_1815											
Cluster_1808											
Cluster_1958											
Cluster_1936											
Cluster_1921											
Cluster_2094											
Cluster_2058											
Cluster_2059											
Cluster_2098											
Cluster_2037											
Cluster_2017											
Cluster_2004											
Cluster_2007											
Cluster_2296											
Cluster_2251											
Cluster_2254											
Cluster_2231											
Cluster_2212											
Cluster_2213											
Cluster_2196											
Cluster_2197											
Cluster_2198											
Cluster_2158											
Cluster_2412											
Cluster_2509											
Cluster_2515											
Cluster_2494											
Cluster_2495											
Cluster_2472											
Cluster_2450											
Cluster_2754											
Cluster_0497	M_eicostet;	chebi class mapping;	-2;	['82835'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_1136											
Cluster_1137											
Cluster_1328											
Cluster_1199											
Cluster_1282											
Cluster_1271											
Cluster_1272											
Cluster_1362											
Cluster_1351											
Cluster_1352											
Cluster_1353											
Cluster_1497											
Cluster_1341											
Cluster_1342											
Cluster_1329											
Cluster_1309											
Cluster_1534											
Cluster_1516											
Cluster_1517											
Cluster_1639											
Cluster_1498											
Cluster_1499											
Cluster_1624											
Cluster_1625											
Cluster_1479											
Cluster_1208	M_2acg3pc;	chebi class mapping;	-1;	['78192'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_1138											
Cluster_1123											
Cluster_1235											
Cluster_1113											
Cluster_1110											
Cluster_1200											
Cluster_1249											
Cluster_1234											
Cluster_1236											
Cluster_1232											
Cluster_3429	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3562	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3563	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3717	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3718	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3744	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3745	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3863	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3864	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3886	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3909	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3910	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3978	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_4005	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_4038	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_4137	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_4254	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_4256	M_1ac2acg3pc;	chebi class mapping;	0;	['64482', '64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2411	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2546	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2669	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2655	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2825	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2776	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2762	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2764	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2743											
Cluster_2744	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2543	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2893	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2894	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2881	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2862	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2863	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3029	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2839	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2840	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2841	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3000	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3001	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3224	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2986	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2987	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2970	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2971	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2972	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2954	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2955	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2956	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2936	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2937	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_2921	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3141	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3142	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3143	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3116	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3358	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3093	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3094	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3333	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3336	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3074	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3075	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3076	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3055	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3056	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3057	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3027	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3028	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3264	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3012	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3013	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3269	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3243	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3244	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3511	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3513	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3222	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3223	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3486	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3201	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3202	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3203	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3204	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3178	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3179	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3433	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3152	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3153	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3154	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3155	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3161	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3404	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3437	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3412	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3413	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3414	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3415	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3416	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3417	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3383	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3384	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3356	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3357	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3360	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3361	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3362	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3330	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3331	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
Cluster_3332	M_1ac2acg3pc;	chebi class mapping;	2;	['64482'];	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;	N/A;
