ID	OldID	Name	Chebi	Compartment	Formula
M_10fthf		10-formyltetrahydrofolate(2-)	CHEBI:15637	c | m	C20H21N7O7
M_12ppd_R		(R)-propane-1,2-diol	CHEBI:28972	c | e	C3H8O2
M_13dpg		3-Phospho-D-glyceroyl phosphate(4-)	CHEBI:16001	c	C3H4O10P2
M_1ac2ac3acglyc	M_tag	triacylglycerol	CHEBI:17855	c	C6H5O6R3
M_1ac2acg3pc	M_pchol	1,2-diacyl-sn-glycero-3-phosphocholine	CHEBI:64482	c | e | m | n	C10H18NO8PR2
M_1ac2acg3pe_BAC	M_pe_BAC	1,2-diacyl-sn-glycero-3-phosphoethanolamine (bacteria)	CHEBI:16038	c | e | m	C7H12NO8PR2
M_1ac2acg3pe	M_pe	1,2-diacyl-sn-glycero-3-phosphoethanolamine	CHEBI:16038	c | e | m	C7H12NO8PR2
M_1ac2acg3pg_BAC	M_pg_BAC	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)(1-) (bacteria)	CHEBI:64961	c | e	C8H12O10PR2
M_1ac2acg3pg	M_pglyc | M_pg	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)(1-)	CHEBI:64961	c | m	C8H12O10PR2
M_1ac2acg3pg3p	M_pgp	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycero-3'-phosphate)(3-)	CHEBI:37393	c | m	C8H11O13P2R2
M_1ac2acg3pi	M_pail	1-phosphatidyl-1D-myo-inositol(1-)	CHEBI:16749	c | m | n	C11H16O13PR2
M_1ac2acg3pi3p	M_pail3p	1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)	CHEBI:17283	c | n	C11H15O16P2R2
M_1ac2acg3pi3p4p	M_pail34p	1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)	CHEBI:16152	c | n	C11H14O19P3R2
M_1ac2acg3pi3p4p5p	M_pail345p	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)	CHEBI:16618	c	C11H13O22P4R2
M_1ac2acg3pi3p5p	M_pail35p	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)	CHEBI:16851	c | n	C11H14O19P3R2
M_1ac2acg3pi4p	M_pail4p	1-phosphatidyl-1D-myo-inositol 4-phosphate(3-)	CHEBI:17526	c | n	C11H15O16P2R2
M_1ac2acg3pi4p5p	M_pail45p	1- phosphatidyl-1D-myo-inositol 4,5-bisphosphate(5-)	CHEBI:18348	c | m | n	C11H14O19P3R2
M_1ac2acg3pi5p	M_pail5p	1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)	CHEBI:16500	c | m | n	C11H15O16P2R2
M_1ac2acg3ps_BAC	M_ps_BAC	1,2-diacyl-sn-glycero-3-phospho-L-serine(1-) (bacteria)	CHEBI:18303	c | e | m	C8H11NO10PR2
M_1ac2acg3ps	M_ps	1,2-diacyl-sn-glycero-3-phospho-L-serine(1-)	CHEBI:18303	c | e | m	C8H11NO10PR2
M_1ac2acglyc	M_12dag	1,2-diacyl-sn-glycerol	CHEBI:17815	c | m | n	C5H6O5R2
M_1ac2acglyc3p	M_pa_tag | M_pa_pl	Phosphatidic acid(2-) (TAG) | 1,2-diacyl-sn-glycero-3-phosphate(2-)	 | CHEBI:29089	c | m | n	C5H5O8PR2
M_1acg3pc	M_ag3pc	1-acyl-sn-glycero-3-phosphocholine	CHEBI:58168	c	C9H19NO7PR
M_1acg3pe	M_acg3pe	1-acyl-sn-glycero-3-phosphoethanolamine	CHEBI:64381	c	C6H13NO7PR
