Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
hlh-30_1h_starv_A	Extraction			hlh-30_1h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep2_1-F,2_01_21838	hlh-30_1h_starv_rep2_1-F,2_01_21838.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_1h_starv_B	Extraction			hlh-30_1h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep3_1-F,3_01_21821	hlh-30_1h_starv_rep3_1-F,3_01_21821.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_1h_starv_C	Extraction			hlh-30_1h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep4_1-F,4_01_21817	hlh-30_1h_starv_rep4_1-F,4_01_21817.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_A	Extraction			hlh-30_2h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep2_1-F,7_01_21775	hlh-30_2h_starv_rep2_1-F,7_01_21775.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_B	Extraction			hlh-30_2h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep3_1-F,8_01_21841	hlh-30_2h_starv_rep3_1-F,8_01_21841.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_C	Extraction			hlh-30_2h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep4_2-A,1_01_21824	hlh-30_2h_starv_rep4_2-A,1_01_21824.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_A	Extraction			hlh-30_3h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep1_2-A,3_01_21772	hlh-30_3h_starv_rep1_2-A,3_01_21772.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_B	Extraction			hlh-30_3h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep2_2-A,4_01_21842	hlh-30_3h_starv_rep2_2-A,4_01_21842.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_C	Extraction			hlh-30_3h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep4_2-A,6_01_21794	hlh-30_3h_starv_rep4_2-A,6_01_21794.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_4h_starv_A	Extraction			hlh-30_4h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep1_2-A,8_01_21825	hlh-30_4h_starv_rep1_2-A,8_01_21825.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_4h_starv_B	Extraction			hlh-30_4h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep2_2-B,1_01_21846	hlh-30_4h_starv_rep2_2-B,1_01_21846.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_4h_starv_C	Extraction			hlh-30_4h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep4_2-B,3_01_21832	hlh-30_4h_starv_rep4_2-B,3_01_21832.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_A	Extraction			hlh-30_6h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep1_2-B,5_01_21828	hlh-30_6h_starv_rep1_2-B,5_01_21828.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_B	Extraction			hlh-30_6h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep2_2-B,6_01_21819	hlh-30_6h_starv_rep2_2-B,6_01_21819.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_C	Extraction			hlh-30_6h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep4_2-B,8_01_21797	hlh-30_6h_starv_rep4_2-B,8_01_21797.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
