Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
hlh-30_1h_starv_A	Extraction			hlh-30_1h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep2_1-F,2_01_21739	hlh-30_1h_starv_rep2_1-F,2_01_21739.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_1h_starv_B	Extraction			hlh-30_1h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep3_1-F,3_01_21722	hlh-30_1h_starv_rep3_1-F,3_01_21722.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_1h_starv_C	Extraction			hlh-30_1h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_1h_starv_rep4_1-F,4_01_21718	hlh-30_1h_starv_rep4_1-F,4_01_21718.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_A	Extraction			hlh-30_2h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep2_1-F,7_01_21676	hlh-30_2h_starv_rep2_1-F,7_01_21676.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_B	Extraction			hlh-30_2h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep3_1-F,8_01_21742	hlh-30_2h_starv_rep3_1-F,8_01_21742.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_2h_starv_C	Extraction			hlh-30_2h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_2h_starv_rep4_2-A,1_01_21725	hlh-30_2h_starv_rep4_2-A,1_01_21725.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_A	Extraction			hlh-30_3h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep1_2-A,3_01_21673	hlh-30_3h_starv_rep1_2-A,3_01_21673.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_B	Extraction			hlh-30_3h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep2_2-A,4_01_21743	hlh-30_3h_starv_rep2_2-A,4_01_21743.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_3h_starv_C	Extraction			hlh-30_3h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_3h_starv_rep4_2-A,6_01_21695	hlh-30_3h_starv_rep4_2-A,6_01_21695.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_4h_starv_A	Extraction			hlh-30_4h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep2_2-B,1_01_21747	hlh-30_4h_starv_rep2_2-B,1_01_21747.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
