database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	id	hlh-30_1h_starv_rep2_1-F,2_01_21838	hlh-30_1h_starv_rep3_1-F,3_01_21821	hlh-30_1h_starv_rep4_1-F,4_01_21817	hlh-30_2h_starv_rep2_1-F,7_01_21775	hlh-30_2h_starv_rep3_1-F,8_01_21841	hlh-30_2h_starv_rep4_2-A,1_01_21824	hlh-30_3h_starv_rep1_2-A,3_01_21772	hlh-30_3h_starv_rep2_2-A,4_01_21842	hlh-30_3h_starv_rep4_2-A,6_01_21794	hlh-30_4h_starv_rep1_2-A,8_01_21825	hlh-30_4h_starv_rep2_2-B,1_01_21846	hlh-30_4h_starv_rep4_2-B,3_01_21832	hlh-30_6h_starv_rep1_2-B,5_01_21828	hlh-30_6h_starv_rep2_2-B,6_01_21819	hlh-30_6h_starv_rep4_2-B,8_01_21797	hlh-30_16h_starv_rep1_2-C,2_01_21806	hlh-30_16h_starv_rep3_2-C,4_01_21829	hlh-30_16h_starv_rep5_2-C,6_01_21807	hlh-30_fed_rep1_1-E,4_01_21812	hlh-30_fed_rep2_1-E,5_01_21820	hlh-30_fed_rep4_1-E,7_01_21798	WT_1h_starv_rep1_1-A,6_01_21818	WT_1h_starv_rep2_1-A,7_01_21779	WT_1h_starv_rep4_1-B,1_01_21789	WT_2h_starv_rep1_1-B,3_01_21830	WT_2h_starv_rep3_1-B,5_01_21786	WT_2h_starv_rep5_1-B,7_01_21776	WT_3h_starv_rep1_1-B,8_01_21782	WT_3h_starv_rep3_1-C,2_01_21771	WT_3h_starv_rep4_1-C,3_01_21799	WT_4h_strav_rep2_1-C,6_01_21811	WT_4h_strav_rep3_1-C,7_01_21795	WT_4h_strav_rep4_1-C,8_01_21823	WT_6h_starv_rep2_1-D,3_01_21788	WT_6h_starv_rep3_1-D,4_01_21787	WT_6h_starv_rep4_1-D,5_01_21843	WT_16h_starv_rep2_1-D,8_01_21802	WT_16h_starv_rep3_1-E,1_01_21801	WT_16h_starv_rep4_1-E,2_01_21833	WT_fed_rep1_1-A,1_01_21822	WT_fed_rep3_1-A,3_01_21845	WT_fed_rep4_1-A,4_01_21847
					255.2331252				8.473420267												Cluster_0001	947.37164	1310.0991	412.11926	744.8642	310.6074	1641.1687	553.20386	654.80194	408.94543	67.01912	331.62967	823.1824	98.95229	874.65826	633.64886	2213.151	1058.5895	478.9917	1397.4484	230.24995	536.19037	2342.4622	1089.5642	552.8397	597.02155	1152.8083	1890.1503	1169.99	249.57959	447.6393	95.10956	476.9658	794.2293	126.883705	1327.5436	932.93506	986.5265	2557.996	402.96158	974.10284	385.34464	706.33704
					255.4993464				7.884389857												Cluster_0002	7959.2974	8321.552	3526.2834	4545.1235	5422.574	8425.477	6828.6685	7197.335	5378.542	10931.899	5847.037	6389.8604	8664.603	5692.228	11038.681	11281.454	9258.471	7028.492	10535.946	3259.752	5909.4854	8088.1807	7780.6455	7510.289	9081.251	5547.0073	14453.403	7381.8047	4807.419	6356.441	5587.715	6176.7153	7533.321	5100.037	6389.5425	6417.867	7628.849	10680.642	6457.1943	5438.7007	5709.3784	3593.2104
					257.0542144				7.88006197												Cluster_0003	162.26166	194.56746	75.452126	75.02143	NaN	254.49008	182.94519	222.58936	156.25517	351.31815	134.22429	201.34274	321.48505	184.14966	356.0508	262.11795	363.55493	185.63689	345.47095	157.56218	130.72354	241.0953	288.32074	216.11131	195.67062	92.8491	475.88623	191.7131	155.52182	153.32382	182.96068	206.50194	139.3643	160.10197	225.88237	158.05382	213.20122	356.323	194.29869	133.45963	128.11229	90.287025
					328.2248877				1.210574538												Cluster_0005	375.26895	557.3841	3961.1921	NaN	NaN	2247.5442	1773.2787	488.52966	2551.1948	NaN	348.22617	43.387253	948.4115	206.54138	350.09598	33.69218	NaN	415.6708	2007.1223	1027.6243	8598.943	3138.4292	649.4712	3112.8982	390.363	3285.126	461.90482	296.76733	1045.3828	1947.9044	237.43098	442.3315	1002.284	112.24861	243.9359	1871.7859	17.700888	NaN	NaN	10826.391	9329.024	6453.6973
					330.2007089				1.193194285												Cluster_0006	243.17944	438.18237	1124.8286	NaN	NaN	1287.6375	779.93475	409.66046	1340.5576	NaN	152.70525	178.22385	201.29716	21.488235	225.84752	NaN	NaN	220.43642	951.7426	470.97592	5456.374	1573.0176	563.58295	1810.2758	NaN	1674.2704	458.7956	372.98288	1108.7312	974.50134	32.964794	269.33426	328.21222	33.20828	262.2677	391.37766	32.002644	7.7391076	NaN	4674.8394	3335.3337	1738.1564
					473.2696466				8.050109963												Cluster_0024	403.333	386.05524	23.62662	NaN	NaN	488.42535	1643.2102	18.040945	390.54544	6.5114617	NaN	377.7673	19.750652	149.01936	NaN	554.0522	NaN	127.68036	458.50354	NaN	1203.5613	518.05524	484.58127	464.29657	NaN	273.04062	173.93217	527.6733	354.08008	506.90747	NaN	15.623763	338.48724	NaN	508.92154	416.55746	507.0085	413.13333	3.9619262	1202.4944	1657.3203	1966.9352
					485.2497947				7.418487487												Cluster_0027	477.85965	647.9161	25.604612	26.888952	NaN	NaN	4627.107	358.27615	841.622	NaN	68.910934	1424.5847	NaN	77.164185	NaN	NaN	194.7277	NaN	NaN	163.32487	1968.2158	NaN	122.145454	114.25423	NaN	NaN	NaN	1545.6996	711.1629	NaN	NaN	NaN	NaN	2.8562434	NaN	165.41342	NaN	NaN	NaN	2408.3513	2312.7056	2158.3184
					486.2585395				8.509580144												Cluster_0028	1628.2201	3427.4817	166.49883	271.94055	NaN	1738.5402	7378.813	776.3318	1129.8519	NaN	464.3102	2042.5797	3.6497164	973.1377	617.6291	1060.8104	1743.1145	479.21716	2232.9539	616.15216	4247.927	763.21576	2961.7295	1056.5906	NaN	286.35086	NaN	7557.6445	2247.549	737.0457	158.38098	232.73492	248.18474	473.8479	749.5801	2518.4214	961.0857	3543.9004	338.92703	9583.665	3584.765	4214.154
					487.2649146				9.584806208												Cluster_0030	67.577354	169.24258	20.92538	NaN	NaN	NaN	3357.2185	6.987714	341.5835	NaN	NaN	545.77075	NaN	22.000381	NaN	NaN	NaN	NaN	NaN	13.88877	1296.2029	NaN	67.63853	333.437	NaN	NaN	NaN	894.4978	862.93134	NaN	NaN	NaN	NaN	20.401665	NaN	91.6911	NaN	22.658867	28.882298	904.592	1259.6237	995.38605
					748.4857197				18.48586549												Cluster_0048	86.457214	271.45355	15.520135	NaN	NaN	989.70325	NaN	NaN	89.44287	82.34152	7.6313524	62.612434	NaN	NaN	836.96643	321.77948	NaN	541.73016	820.6104	NaN	205.68692	1803.9031	481.07617	NaN	NaN	519.61945	75.52713	65.45265	338.59586	543.30054	238.37743	215.91919	970.2262	44.770706	480.2221	576.95703	NaN	103.91271	371.19867	317.4106	66.468475	128.44879
					760.4858935				18.17981605												Cluster_0052	NaN	396.76947	NaN	6.9966655	NaN	843.3605	NaN	NaN	NaN	37.056885	NaN	NaN	85.12853	NaN	108.992165	1113.8076	281.30164	191.02597	735.11383	NaN	26.741713	1077.1405	125.4712	8.861164	32.033955	85.851456	189.12677	41.80248	50.617397	97.695145	0.71688735	4.984799	353.57452	5.869813	54.284412	278.50284	NaN	329.43283	13.747301	377.72244	NaN	1.8417645
					761.4938846				18.55065906												Cluster_0054	998.4811	2924.8433	818.7325	781.05334	418.25644	4610.735	NaN	1143.16	704.91705	2600.4941	713.0703	1895.9417	75.59326	805.2597	3321.5176	5069.4644	2372.4111	3266.6746	4529.893	304.17715	1228.2903	6969.688	2158.1416	62.434902	1444.7555	2640.5479	1739.2598	807.9988	1884.8035	1882.3907	1256.6024	1289.572	3888.073	522.7441	2160.0195	2488.2932	510.76773	2929.412	2266.663	2078.2695	1051.0502	987.6747
