Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Feeding]	Term Source REF	Term Accession Number	Factor Value[Time]	Term Source REF	Term Accession Number
hlh-30_1h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_1h_starv_A	hlh-30			starvation			1		
hlh-30_1h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_1h_starv_B	hlh-30			starvation			1		
hlh-30_1h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_1h_starv_C	hlh-30			starvation			1		
hlh-30_2h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_2h_starv_A	hlh-30			starvation			2		
hlh-30_2h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_2h_starv_B	hlh-30			starvation			2		
hlh-30_2h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_2h_starv_C	hlh-30			starvation			2		
hlh-30_3h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_3h_starv_A	hlh-30			starvation			3		
hlh-30_3h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_3h_starv_B	hlh-30			starvation			3		
hlh-30_3h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_3h_starv_C	hlh-30			starvation			3		
hlh-30_4h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_4h_starv_A	hlh-30			starvation			4		
hlh-30_4h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_4h_starv_B	hlh-30			starvation			4		
hlh-30_4h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_4h_starv_C	hlh-30			starvation			4		
hlh-30_6h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_6h_starv_A	hlh-30			starvation			6		
hlh-30_6h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_6h_starv_B	hlh-30			starvation			6		
hlh-30_6h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_6h_starv_C	hlh-30			starvation			6		
hlh-30_16h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_16h_starv_A	hlh-30			starvation			16		
hlh-30_16h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_16h_starv_B	hlh-30			starvation			16		
hlh-30_16h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_16h_starv_C	hlh-30			starvation			16		
hlh-30_fed_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_fed_A	hlh-30			fed			0		
hlh-30_fed_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_fed_B	hlh-30			fed			0		
hlh-30_fed_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	hlh-30_fed_C	hlh-30			fed			0		
WT_1h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_1h_starv_A	N2			starvation			1		
WT_1h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_1h_starv_B	N2			starvation			1		
WT_1h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_1h_starv_C	N2			starvation			1		
WT_2h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_2h_starv_A	N2			starvation			2		
WT_2h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_2h_starv_B	N2			starvation			2		
WT_2h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_2h_starv_C	N2			starvation			2		
WT_3h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_3h_starv_A	N2			starvation			3		
WT_3h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_3h_starv_B	N2			starvation			3		
WT_3h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_3h_starv_C	N2			starvation			3		
WT_4h_strav_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_4h_strav_A	N2			starvation			4		
WT_4h_strav_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_4h_strav_B	N2			starvation			4		
WT_4h_strav_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_4h_strav_C	N2			starvation			4		
WT_6h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_6h_starv_A	N2			starvation			6		
WT_6h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_6h_starv_B	N2			starvation			6		
WT_6h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_6h_starv_C	N2			starvation			6		
WT_16h_starv_A	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_16h_starv_A	N2			starvation			16		
WT_16h_starv_B	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_16h_starv_B	N2			starvation			16		
WT_16h_starv_C	Caenorhabditis elegans	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_6239	Whole body	BTO	http://purl.obolibrary.org/obo/BTO_0001489				extract			Sample collection	WT_16h_starv_C	N2			starvation			16		
